branch_id	sub_tree	type	note
B331	(Myocastor_coypus:B37,(Ctenomys_sociabilis:B38,Octodon_degus:B39):B330)	internal	
B332	((Chinchilla_lanigera:B35,Dinomys_branickii:B36):B329,(Myocastor_coypus:B37,(Ctenomys_sociabilis:B38,Octodon_degus:B39):B330):B331)	internal	
B333	(Coendou_prehensilis:B40,Erethizon_dorsatum:B41)	internal	
B334	(Hydrochoerus_hydrochaeris:B44,Dolichotis_patagonum:B45)	internal	
B335	(Cavia_tschudii:B43,(Hydrochoerus_hydrochaeris:B44,Dolichotis_patagonum:B45):B334)	internal	
B336	(Dasyprocta_punctata:B42,(Cavia_tschudii:B43,(Hydrochoerus_hydrochaeris:B44,Dolichotis_patagonum:B45):B334):B335)	internal	
B337	((Coendou_prehensilis:B40,Erethizon_dorsatum:B41):B333,(Dasyprocta_punctata:B42,(Cavia_tschudii:B43,(Hydrochoerus_hydrochaeris:B44,Dolichotis_patagonum:B45):B334):B335):B336)	internal	
B338	(((Chinchilla_lanigera:B35,Dinomys_branickii:B36):B329,(Myocastor_coypus:B37,(Ctenomys_sociabilis:B38,Octodon_degus:B39):B330):B331):B332,((Coendou_prehensilis:B40,Erethizon_dorsatum:B41):B333,(Dasyprocta_punctata:B42,(Cavia_tschudii:B43,(Hydrochoerus_hydrochaeris:B44,Dolichotis_patagonum:B45):B334):B335):B336):B337)	internal	
B339	((Heterocephalus_glaber:B32,(Petromus_typicus:B33,Thryonomys_swinderianus:B34):B327):B328,(((Chinchilla_lanigera:B35,Dinomys_branickii:B36):B329,(Myocastor_coypus:B37,(Ctenomys_sociabilis:B38,Octodon_degus:B39):B330):B331):B332,((Coendou_prehensilis:B40,Erethizon_dorsatum:B41):B333,(Dasyprocta_punctata:B42,(Cavia_tschudii:B43,(Hydrochoerus_hydrochaeris:B44,Dolichotis_patagonum:B45):B334):B335):B336):B337):B338)	internal	
B340	(Hystrix_cristata:B31,((Heterocephalus_glaber:B32,(Petromus_typicus:B33,Thryonomys_swinderianus:B34):B327):B328,(((Chinchilla_lanigera:B35,Dinomys_branickii:B36):B329,(Myocastor_coypus:B37,(Ctenomys_sociabilis:B38,Octodon_degus:B39):B330):B331):B332,((Coendou_prehensilis:B40,Erethizon_dorsatum:B41):B333,(Dasyprocta_punctata:B42,(Cavia_tschudii:B43,(Hydrochoerus_hydrochaeris:B44,Dolichotis_patagonum:B45):B334):B335):B336):B337):B338):B339)	internal	
