branch_id	branch_type	n_shared_genes	n_fix_non_na	n_free_non_na	support_percent	discordance_percent
B280	terminal	5	5	5	100.0000000000	0.0000000000
B281	terminal	5	5	5	100.0000000000	0.0000000000
B282	terminal	5	4	4	100.0000000000	0.0000000000
B283	terminal	5	4	4	100.0000000000	0.0000000000
B284	terminal	5	5	5	100.0000000000	0.0000000000
B285	terminal	5	5	5	100.0000000000	0.0000000000
B286	terminal	5	4	4	100.0000000000	0.0000000000
B287	terminal	5	4	4	100.0000000000	0.0000000000
B288	terminal	5	4	4	100.0000000000	0.0000000000
B289	terminal	5	4	4	100.0000000000	0.0000000000
B290	terminal	5	4	4	100.0000000000	0.0000000000
B291	terminal	5	4	4	100.0000000000	0.0000000000
B292	terminal	5	4	4	100.0000000000	0.0000000000
B293	terminal	5	5	5	100.0000000000	0.0000000000
B294	terminal	5	5	5	100.0000000000	0.0000000000
B295	terminal	5	5	5	100.0000000000	0.0000000000
B296	terminal	5	5	5	100.0000000000	0.0000000000
B297	terminal	5	5	5	100.0000000000	0.0000000000
B298	terminal	5	5	5	100.0000000000	0.0000000000
B299	terminal	5	5	5	100.0000000000	0.0000000000
B300	terminal	5	4	4	100.0000000000	0.0000000000
B301	terminal	5	5	5	100.0000000000	0.0000000000
B302	terminal	5	5	5	100.0000000000	0.0000000000
B303	internal	5	3	3	100.0000000000	0.0000000000
B304	internal	5	4	2	50.0000000000	50.0000000000
B305	internal	5	5	5	100.0000000000	0.0000000000
B306	internal	5	5	3	60.0000000000	40.0000000000
B307	internal	5	5	3	60.0000000000	40.0000000000
B308	internal	5	5	3	60.0000000000	40.0000000000
B309	internal	5	4	4	100.0000000000	0.0000000000
B310	internal	5	3	3	100.0000000000	0.0000000000
B311	internal	5	5	2	40.0000000000	60.0000000000
B312	internal	5	1	1	100.0000000000	0.0000000000
B313	internal	5	5	5	100.0000000000	0.0000000000
B314	internal	5	5	5	100.0000000000	0.0000000000
B315	internal	5	5	5	100.0000000000	0.0000000000
B316	internal	5	4	0	0.0000000000	100.0000000000
B317	internal	5	5	4	80.0000000000	20.0000000000
B318	internal	5	5	4	80.0000000000	20.0000000000
B319	internal	5	4	4	100.0000000000	0.0000000000
B320	internal	5	3	1	33.3333333333	66.6666666667
B321	internal	5	5	4	80.0000000000	20.0000000000
B322	internal	5	5	4	80.0000000000	20.0000000000
B323	internal	5	5	4	80.0000000000	20.0000000000
B324	internal	5	5	4	80.0000000000	20.0000000000
B325	internal	5	5	4	80.0000000000	20.0000000000
B326	internal	5	5	3	60.0000000000	40.0000000000
B327	internal	5	3	3	100.0000000000	0.0000000000
B328	internal	5	5	4	80.0000000000	20.0000000000
B329	internal	5	4	4	100.0000000000	0.0000000000
B330	internal	5	3	3	100.0000000000	0.0000000000
B331	internal	5	4	4	100.0000000000	0.0000000000
B332	internal	5	5	5	100.0000000000	0.0000000000
B333	internal	5	4	4	100.0000000000	0.0000000000
B334	internal	5	3	0	0.0000000000	100.0000000000
B335	internal	5	3	3	100.0000000000	0.0000000000
B336	internal	5	3	3	100.0000000000	0.0000000000
B337	internal	5	5	2	40.0000000000	60.0000000000
B338	internal	5	5	4	80.0000000000	20.0000000000
B339	internal	5	5	4	80.0000000000	20.0000000000
B340	internal	5	5	4	80.0000000000	20.0000000000
B341	internal	5	5	2	40.0000000000	60.0000000000
B342	internal	5	5	0	0.0000000000	100.0000000000
B343	internal	5	3	0	0.0000000000	100.0000000000
B344	internal	5	4	4	100.0000000000	0.0000000000
B345	internal	5	5	4	80.0000000000	20.0000000000
B346	internal	5	4	3	75.0000000000	25.0000000000
B347	internal	5	4	1	25.0000000000	75.0000000000
B348	internal	5	4	3	75.0000000000	25.0000000000
B349	internal	5	5	4	80.0000000000	20.0000000000
B350	internal	5	5	3	60.0000000000	40.0000000000
B351	internal	5	4	4	100.0000000000	0.0000000000
B352	internal	5	4	1	25.0000000000	75.0000000000
B353	internal	5	5	4	80.0000000000	20.0000000000
B354	internal	5	4	2	50.0000000000	50.0000000000
