branch_id	sub_tree	type
B452	((Lynx_canadensis:B156,Lynx_pardinus:B157):B450,(Felis_nigripes:B158,Prionailurus_bengalensis_euptilurus:B159):B451)	internal
B401	(Macaca_mulatta:B105,((Papio_anubis:B106,Theropithecus_gelada:B107):B398,(Cercocebus_atys:B108,Mandrillus_sphinx:B109):B399):B400)	internal
B325	(Aplodontia_rufa:B23,(Sciurus_vulgaris:B24,(Xerus_inauris:B25,(Marmota_monax:B26,(Urocitellus_parryii:B27,(Cynomys_gunnisoni:B28,Ictidomys_tridecemlineatus:B29):B320):B321):B322):B323):B324)	internal
B118	Talpa_occidentalis	terminal
B51	Nannospalax_galili	terminal
B247	Kobus_leche_leche	terminal
B275	Eschrichtius_robustus	terminal
B441	(Ceratotherium_simum_simum:B148,Diceros_bicornis:B149)	internal
B461	(Suricata_suricatta:B169,(Helogale_parvula:B170,Mungos_mungo:B171):B460)	internal
B236	Moschus_berezovskii	terminal
B233	Elaphurus_davidianus	terminal
B266	Bubalus_bubalis	terminal
B457	(Neofelis_nebulosa:B160,(Panthera_uncia:B161,(Panthera_onca:B162,(Panthera_leo:B163,Panthera_pardus:B164):B454):B455):B456)	internal
B75	Otolemur_garnettii	terminal
B566	(Eschrichtius_robustus:B275,(Megaptera_novaeangliae:B276,(Balaenoptera_edeni:B277,Balaenoptera_musculus:B278):B564):B565)	internal
B245	Litocranius_walleri	terminal
B253	Hippotragus_equinus	terminal
B585	((Cephalorhynchus_commersonii:B294,Lagenorhynchus_obliquidens:B295):B578,((Sousa_chinensis:B296,(Tursiops_aduncus:B297,Tursiops_truncatus:B298):B579):B580,(Steno_bredanensis:B299,(Grampus_griseus:B300,(Globicephala_melas:B301,Peponocephala_electra:B302):B581):B582):B583):B584)	internal
B547	(Oreamnos_americanus:B255,((Ammotragus_lervia:B256,(Capra_aegagrus:B257,Capra_sibirica:B258):B541):B542,(Hemitragus_hylocrius:B259,(Ovis_orientalis:B260,(Ovis_canadensis:B261,Ovis_nivicola_lydekkeri:B262):B543):B544):B545):B546)	internal
B24	Sciurus_vulgaris	terminal
B408	((Hylobates_moloch:B110,Nomascus_leucogenys:B111):B404,(Pongo_abelii:B112,(Gorilla_gorilla_gorilla:B113,(Homo_sapiens:B114,Pan_troglodytes:B115):B405):B406):B407)	internal
B42	Dasyprocta_punctata	terminal
B280	Physeter_catodon	terminal
B391	(Pygathrix_nemaeus:B97,Rhinopithecus_bieti:B98)	internal
B349	(Microtus_agrestis:B61,Arvicola_amphibius:B62)	internal
B305	(Dasypus_novemcinctus:B1,(Myrmecophaga_tridactyla:B2,(Choloepus_didactylus:B3,Choloepus_hoffmanni:B4):B303):B304)	internal
B231	Muntiacus_muntjak	terminal
B223	Capreolus_pygargus	terminal
